ppm,LP30 298K,,,,,,,,,LP30 310K,,,,,,,,,LP30 323K,,,,,,,
,500Hz,,1000Hz,,1500Hz,,2000Hz,,,500Hz,,1000,,1500,,2000,,,500,,1000,,1500,,2000,
,exp,fit,exp,fit,exp,fit,exp,fit,Divided by Max of J,exp,fit,exp,fit,exp,fit,exp,fit,,exp,fit,,fit,,fit,,fit
500,1,1,1,1,1,1,1,1,--,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
400,1.001286992,0.997322712,1.036124718,0.989463525,1.005623631,0.976913897,1.003355732,0.960413346,--,0.969361725,0.998457205,0.981751735,0.993914436,1.033671216,0.986613823,0.969186467,0.97691496,,0.985400636,0.998838379,0.990839641,0.995432633,0.949170228,0.990004957,0.977523329,0.982880223
300,0.964044913,0.991697,1.001653567,0.967732547,0.96805742,0.930710193,0.942111407,0.884302431,--,0.979306758,0.995317796,0.975504656,0.981665321,0.996665239,0.960136509,0.948891792,0.932298113,,1.020333706,0.996624491,0.959200626,0.986804748,0.946484803,0.971385327,0.931988842,0.951554308
250,1.005225419,0.986183019,0.958050817,0.946956663,0.942485334,0.88826312,0.855120454,0.817962943,--,0.985587786,0.992314201,0.96573767,0.97010679,0.946637127,0.935697641,0.889534217,0.892301493,,0.995482648,0.994621438,1.002690118,0.97907554,0.914088212,0.954961667,0.932079861,0.924465533
200,0.988858016,0.97629339,0.949617263,0.910951182,0.836763136,0.818556274,0.756851718,0.71625538,--,0.982887209,0.987015573,0.953601877,0.950087882,0.908150713,0.894587831,0.836848428,0.82753827,,0.984408393,0.991244107,0.976433131,0.966195999,0.891076146,0.928092045,0.87553559,0.881174281
180,0.974343712,0.96999448,0.931715681,0.888834222,0.795578908,0.778077016,0.701246925,0.661195693,--,1.013784416,0.983670968,0.95161232,0.937691354,0.883551946,0.8698912,0.797877517,0.790133654,,0.996535881,0.989176575,0.969266388,0.958402889,0.896567459,0.912127643,0.867043155,0.856047312
160,0.943856781,0.961350696,0.913290768,0.859480727,0.742962141,0.726990728,0.645326978,0.595747948,--,0.991887364,0.979097965,0.896728692,0.921037403,0.863273313,0.837612161,0.775291801,0.742923656,,0.991271677,0.986401003,0.931275436,0.948048705,0.865372446,0.891256039,0.815685565,0.823865241
140,0.927263552,0.949044074,0.844919653,0.819600865,0.662218819,0.662187714,0.566595324,0.518929339,--,0.954249327,0.972595315,0.897198725,0.897933797,0.839301169,0.79450611,0.725060202,0.682797605,,0.98059145,0.98252191,0.94481078,0.933783594,0.842472472,0.86313277,0.776786491,0.78170491
120,0.909679626,0.93070339,0.786853395,0.764100082,0.589970107,0.580252665,0.485754413,0.431070062,--,0.960373906,0.962877627,0.87176595,0.864638624,0.804045138,0.735702849,0.619152154,0.606014905,,0.996144346,0.976812314,0.928201129,0.91322075,0.795544761,0.82387559,0.741732487,0.725167374
100,0.878207014,0.901751153,0.731269337,0.685240606,0.478905026,0.478733839,0.363960121,0.335048922,--,0.935337646,0.947385226,0.797325066,0.81447916,0.699102616,0.654145992,0.526378435,0.509057208,,0.949459745,0.967811584,0.897024192,0.881841599,0.763914811,0.766845225,0.670863513,0.647797622
80,0.837373923,0.852589617,0.617572072,0.572487887,0.334845934,0.359331739,0.240490018,0.237144023,--,0.89652996,0.920448147,0.730510138,0.735186839,0.572354588,0.541009826,0.394114843,0.391342122,,0.977165772,0.952220183,0.865644169,0.83039755,0.665578049,0.680598167,0.562849304,0.541174064
60,0.740653911,0.761318169,0.435235436,0.417260269,0.202639112,0.232477629,0.144093702,0.146035481,--,0.853498694,0.867646968,0.614133371,0.604977518,0.422187668,0.390896047,0.276105609,0.260464131,,0.921761899,0.921284631,0.733079508,0.738479055,0.537264402,0.547067607,0.436883639,0.398751659
50,0.640847751,0.68573656,0.334363415,0.326084861,0.138611355,0.172046117,0.105753062,0.105863012,--,0.783772513,0.820463889,0.518378394,0.511683737,0.348362116,0.305112886,0.18845458,0.195663822,,0.909064363,0.892865142,0.681250078,0.664654017,0.458836015,0.456563285,0.343250152,0.315819093
40,0.533511378,0.577366783,0.237156574,0.232569243,0.079005825,0.117106661,0.064239131,0.070757611,--,0.705439251,0.74570731,0.426698874,0.397292752,0.236465302,0.218207013,0.123616542,0.135289876,,0.844649216,0.845830944,0.555561016,0.561277261,0.350856116,0.350490947,0.242589333,0.229892391
30,0.355793987,0.427032247,0.143103,0.145005995,0.032457569,0.070212918,0.023864024,0.041779684,--,0.549657002,0.622508649,0.273152926,0.268570585,0.147960014,0.137071934,0.065994077,0.082547067,,0.731622774,0.761358497,0.426070419,0.420849233,0.222460037,0.235937445,0.15266668,0.147426177
20,0.183293091,0.244900709,0.05750101,0.07202133,0.009071464,0.033801984,0.006377962,0.0198788,--,0.350516271,0.423222793,0.139326109,0.14376233,0.055242259,0.069131283,0.014751164,0.040658268,,0.534047844,0.597563227,0.244088577,0.250934046,0.109846674,0.127277417,0.086622942,0.076315826
10,0.049315081,0.081615742,0.010578812,0.021698581,0.003533694,0.009972462,0.001578082,0.005820193,--,0.135411813,0.168468082,0.028389851,0.047103332,0.009055571,0.021695088,0.001732172,0.012553863,,0.240622791,0.298613065,0.08135771,0.091870723,0.026804105,0.043133139,0.011403637,0.025080615
0,0.008851834,0.001755106,0.001674649,4.46E-04,-0.002008743,2.03E-04,-0.001379547,1.18E-04,--,0.024494606,0.006178758,0.001739371,0.001564762,8.80E-05,7.07E-04,-0.005190368,4.06E-04,,0.057884322,0.017561737,0.007776982,0.00447283,0.003987703,0.002018096,4.91E-04,0.001156347
-10,0.054489974,0.04307128,0.005903379,0.011199315,0.002067413,0.005125017,0.002813809,0.002986538,--,0.133082005,0.075229386,0.028053732,0.019848625,0.007100979,0.009035156,0.002314176,0.005206159,,0.219448012,0.117999807,0.074552967,0.032007036,0.028853036,0.014623797,0.013417482,0.008418634
-20,0.196456663,0.185255481,0.035425543,0.052433483,0.0121954,0.024410503,0.003996469,0.014314022,--,0.339893118,0.312361156,0.104133745,0.096543159,0.035174031,0.045464803,0.00735241,0.026531978,,0.458829647,0.45152159,0.209749516,0.159231249,0.107703793,0.07724383,0.067944885,0.045514902
-30,0.350972545,0.368049928,0.087266965,0.118627228,0.043625073,0.056811543,0.009736681,0.033669371,--,0.519539073,0.5444794,0.213355571,0.211360256,0.10770507,0.105000937,0.064413051,0.062590778,,0.637596386,0.68290106,0.349053039,0.32748675,0.199700168,0.173618679,0.120748971,0.106187181
