# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 0
# model = CEST_model
# start_datetime = 2023-05-12 16:53:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/berna/AppData/Local/Temp/RtmpiurUPZ/standata-14a46360669d.json
# init = C:/Users/berna/AppData/Local/Temp/RtmpiurUPZ/init-1-14a4d45485d.json
# random
#   seed = 987569062
# output
#   file = C:/Users/berna/AppData/Local/Temp/RtmpiurUPZ/CEST-202305121953-1-07b759.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/berna/AppData/Local/Temp/RtmpiurUPZ/CEST-profile-202305121953-1-1fe283.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.0
# stancflags = --O1 --name=CEST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,R2b_std,R1b_std,k_std,f_std,sigma_std,R2b,R1b,k,f,sigma,Z_tilde.1,Z_tilde.2,Z_tilde.3,Z_tilde.4,Z_tilde.5,Z_tilde.6,Z_tilde.7,Z_tilde.8,Z_tilde.9,Z_tilde.10,Z_tilde.11,Z_tilde.12,Z_tilde.13,Z_tilde.14,Z_tilde.15,Z_tilde.16,Z_tilde.17,Z_tilde.18,Z_tilde.19,Z_tilde.20,Z_tilde.21,Z_tilde.22,Z_tilde.23,Z_tilde.24,Z_tilde.25,Z_tilde.26,Z_tilde.27,Z_tilde.28,Z_tilde.29,Z_tilde.30,Z_tilde.31,Z_tilde.32,Z_tilde.33,Z_tilde.34,Z_tilde.35,Z_tilde.36,Z_tilde.37,Z_tilde.38,Z_tilde.39,Z_tilde.40,Z_tilde.41,Z_tilde.42,Z_tilde.43,Z_tilde.44,Z_tilde.45,Z_tilde.46,Z_tilde.47,Z_tilde.48,Z_tilde.49,Z_tilde.50,Z_tilde.51,Z_tilde.52,Z_rep.1,Z_rep.2,Z_rep.3,Z_rep.4,Z_rep.5,Z_rep.6,Z_rep.7,Z_rep.8,Z_rep.9,Z_rep.10,Z_rep.11,Z_rep.12,Z_rep.13,Z_rep.14,Z_rep.15,Z_rep.16,Z_rep.17,Z_rep.18,Z_rep.19,Z_rep.20,Z_rep.21,Z_rep.22,Z_rep.23,Z_rep.24,Z_rep.25,Z_rep.26,Z_rep.27,Z_rep.28,Z_rep.29,Z_rep.30,Z_rep.31,Z_rep.32,Z_rep.33,Z_rep.34,Z_rep.35,Z_rep.36,Z_rep.37,Z_rep.38,Z_rep.39,Z_rep.40,Z_rep.41,Z_rep.42,Z_rep.43,Z_rep.44,Z_rep.45,Z_rep.46,Z_rep.47,Z_rep.48,Z_rep.49,Z_rep.50,Z_rep.51,Z_rep.52
# Adaptation terminated
# Step size = 0.387083
# Diagonal elements of inverse mass matrix:
# 1.15384, 0.862012, 1.08662, 1.74525, 0.0120339
158.951,0.996146,0.387083,3,7,0,-157.03,1.87119,0.799984,0.101779,0.219781,0.581424,36355.9,3.99992,160.178,0.0160989,0.0290712,0.997403,0.996181,0.993734,0.991418,0.987356,0.984796,0.981294,0.976302,0.968801,0.95672,0.935328,0.891958,0.851618,0.784693,0.666441,0.455362,0.164853,0.000322941,0.164668,0.454173,0.663812,0.780603,0.846051,0.884855,0.924808,0.94203,0.948744,0.949031,0.943978,0.93936,0.933175,0.925261,0.915493,0.903904,0.890871,0.877365,0.865124,0.856474,0.853563,0.855022,0.857294,0.866793,0.879934,0.894411,0.908501,0.921254,0.932317,0.941691,0.949542,0.973227,0.983717,0.989077,0.982902,0.968058,0.978063,0.979517,0.953012,0.996027,0.946736,0.970878,0.952667,0.972256,0.988335,0.893758,0.833169,0.744929,0.681112,0.494923,0.1472,0.0612815,0.175403,0.475562,0.635724,0.798419,0.797215,0.89684,0.937686,0.942586,0.923247,0.936156,0.968001,0.972102,0.927144,0.854634,0.968441,0.874655,0.867986,0.91702,0.814225,0.913895,0.824286,0.854053,0.835784,0.877797,0.880715,0.887731,0.866852,0.967214,0.981458,0.98264,0.963065,0.987636,0.977052,0.945764
160.193,0.933889,0.387083,3,7,0,-156.681,0.892618,1.50957,0.0703844,0.242011,0.574901,31463.1,7.54786,157.038,0.0162101,0.0287451,0.997557,0.996385,0.994019,0.991762,0.987782,0.985264,0.981811,0.976877,0.969448,0.957458,0.936188,0.892996,0.852784,0.786029,0.667989,0.457026,0.165801,0.000325002,0.165613,0.455915,0.665611,0.782385,0.847863,0.886743,0.926949,0.94454,0.951734,0.952609,0.948206,0.943888,0.937925,0.930071,0.920074,0.907796,0.893444,0.877939,0.863295,0.852567,0.84882,0.850594,0.853396,0.864982,0.880537,0.897021,0.912438,0.925884,0.937178,0.946491,0.954118,0.976241,0.985656,0.990393,0.963797,0.99971,0.990823,0.98169,0.990896,0.926167,0.988017,0.968851,0.960672,0.932378,0.893273,0.85689,0.859678,0.781708,0.687604,0.435172,0.15146,0.0120538,0.106105,0.528817,0.687927,0.76299,0.781363,0.901922,0.965106,0.950782,0.99084,0.947726,0.932471,0.924905,0.931958,0.895669,0.90438,0.905343,0.901335,0.878314,0.786783,0.853868,0.921997,0.818639,0.861336,0.842841,0.835319,0.86886,0.999171,0.917682,0.964043,0.947314,0.954557,0.979582,0.968221,0.96916
158.933,0.910347,0.387083,3,7,0,-155.742,0.23757,1.69444,0.118118,0.137843,0.521834,28187.9,8.47221,161.812,0.0156892,0.0260917,0.997671,0.996537,0.994227,0.992012,0.988087,0.985596,0.982174,0.977275,0.969885,0.957938,0.936715,0.893568,0.85337,0.786615,0.668543,0.457471,0.165999,0.000325388,0.165814,0.45643,0.66637,0.783334,0.848972,0.888003,0.928523,0.94648,0.954129,0.955571,0.95185,0.947893,0.942268,0.934665,0.924726,0.91215,0.896938,0.879872,0.86312,0.850421,0.84585,0.847939,0.851263,0.864834,0.88251,0.900567,0.916851,0.930601,0.94184,0.950904,0.958195,0.978717,0.987201,0.991426,0.955655,0.977254,0.982687,0.970956,0.965095,0.949053,0.98499,0.926096,0.99186,0.939619,0.941754,0.907583,0.832816,0.78292,0.672433,0.484634,0.157156,0.00791869,0.188947,0.414952,0.673487,0.761358,0.836861,0.871599,0.918599,0.977248,0.958011,0.964909,0.965643,0.975517,0.903288,0.926867,0.948737,0.900397,0.899214,0.88633,0.860473,0.858865,0.853577,0.87343,0.877479,0.783961,0.935468,0.94318,0.938354,0.970057,0.974632,0.948085,0.946511,0.927514,0.970067,0.984061
157.294,0.979638,0.387083,3,7,0,-156.633,0.0855563,1.24535,0.0703926,0.154588,0.683511,27427.8,6.22675,157.039,0.0157729,0.0341756,0.997674,0.996539,0.994229,0.992012,0.988082,0.985588,0.982161,0.977254,0.969851,0.957883,0.936621,0.893393,0.853122,0.786251,0.667997,0.45672,0.16549,0.000324107,0.165314,0.4557,0.665854,0.783006,0.848768,0.88788,0.928498,0.946517,0.954215,0.955707,0.952042,0.948116,0.942524,0.934954,0.925045,0.912489,0.897278,0.880185,0.863378,0.85062,0.846023,0.848121,0.851462,0.865093,0.882824,0.900909,0.917194,0.930927,0.942139,0.951173,0.958435,0.97885,0.987281,0.991478,0.971125,0.938126,0.97178,0.961005,0.92261,0.990914,0.916765,0.931835,0.975214,0.982061,0.884797,0.844467,0.836923,0.821843,0.661978,0.450182,0.221335,0.0221225,0.215693,0.49904,0.673684,0.771247,0.867913,0.919992,0.961976,0.915123,0.994952,0.955526,0.971328,0.874032,0.953969,0.978489,0.909678,0.910167,0.899977,0.864411,0.842464,0.825966,0.852466,0.812016,0.839613,0.812746,0.891523,0.890438,0.89862,0.931048,0.99351,0.887293,0.926614,0.950666,0.996363,0.995877
156.384,0.922988,0.387083,3,15,0,-154.191,0.521092,0.261418,0.0582444,0.135207,0.489669,29605.5,1.30709,155.824,0.015676,0.0244834,0.997587,0.996422,0.994062,0.991807,0.987822,0.985298,0.981835,0.976882,0.969419,0.957368,0.935979,0.892534,0.852087,0.784955,0.666328,0.45471,0.164242,0.000321211,0.164078,0.453665,0.664063,0.781476,0.847384,0.886555,0.927139,0.944996,0.952432,0.953564,0.949455,0.945295,0.93949,0.931778,0.92188,0.909615,0.895136,0.87933,0.864245,0.853094,0.84917,0.851013,0.853928,0.865945,0.881948,0.898742,0.914293,0.927736,0.938941,0.948123,0.955604,0.977116,0.986196,0.990751,0.989317,0.981123,0.990626,0.96717,0.995055,0.974621,0.966895,0.987524,0.997897,0.965708,0.944812,0.873352,0.804926,0.775783,0.651443,0.492262,0.172318,0.0174494,0.135193,0.485072,0.64568,0.785477,0.853063,0.855873,0.897478,0.956775,0.942857,0.935173,0.987717,0.927641,0.948525,0.924984,0.924985,0.866278,0.917874,0.878672,0.854191,0.840461,0.853773,0.887727,0.825647,0.82941,0.87129,0.891863,0.939,0.95933,0.892339,0.937251,0.965186,0.973863,0.96346,0.985948
157.525,0.999959,0.387083,3,7,0,-155.276,1.35291,0.48031,0.0242661,0.129153,0.538399,33764.6,2.40155,152.427,0.0156458,0.0269199,0.997487,0.996291,0.993883,0.991595,0.987567,0.985023,0.981538,0.976562,0.969077,0.957006,0.93561,0.892195,0.851796,0.784761,0.666316,0.454967,0.16451,0.000321798,0.164343,0.453874,0.663895,0.780997,0.846673,0.885658,0.925922,0.943461,0.950548,0.951295,0.946813,0.942521,0.936679,0.929104,0.919637,0.908261,0.89529,0.881658,0.869135,0.860185,0.857146,0.858656,0.861011,0.870815,0.884244,0.898852,0.912886,0.925432,0.936198,0.945237,0.95275,0.975114,0.984889,0.98986,0.998856,0.96424,0.982074,0.954202,0.997466,0.983961,0.938975,0.932403,0.971602,0.96898,0.949005,0.894148,0.893423,0.7948,0.640169,0.518915,0.190398,0.00924246,0.159295,0.452984,0.643959,0.793535,0.829891,0.840655,0.941577,0.914247,0.923281,0.958386,0.914582,0.933103,0.9621,0.855475,0.945159,0.91481,0.844891,0.858131,0.890619,0.844959,0.861616,0.85753,0.840582,0.882774,0.911267,0.915402,0.9453,0.885636,0.882724,0.935363,0.902324,0.982299,0.965555,0.99943
