# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 0
# model = CEST_model
# start_datetime = 2023-05-12 16:53:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/berna/AppData/Local/Temp/RtmpiurUPZ/standata-14a46360669d.json
# init = C:/Users/berna/AppData/Local/Temp/RtmpiurUPZ/init-2-14a43d4411e1.json
# random
#   seed = 987569062
# output
#   file = C:/Users/berna/AppData/Local/Temp/RtmpiurUPZ/CEST-202305121953-2-07b759.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/berna/AppData/Local/Temp/RtmpiurUPZ/CEST-profile-202305121953-2-1fe283.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.0
# stancflags = --O1 --name=CEST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,R2b_std,R1b_std,k_std,f_std,sigma_std,R2b,R1b,k,f,sigma,Z_tilde.1,Z_tilde.2,Z_tilde.3,Z_tilde.4,Z_tilde.5,Z_tilde.6,Z_tilde.7,Z_tilde.8,Z_tilde.9,Z_tilde.10,Z_tilde.11,Z_tilde.12,Z_tilde.13,Z_tilde.14,Z_tilde.15,Z_tilde.16,Z_tilde.17,Z_tilde.18,Z_tilde.19,Z_tilde.20,Z_tilde.21,Z_tilde.22,Z_tilde.23,Z_tilde.24,Z_tilde.25,Z_tilde.26,Z_tilde.27,Z_tilde.28,Z_tilde.29,Z_tilde.30,Z_tilde.31,Z_tilde.32,Z_tilde.33,Z_tilde.34,Z_tilde.35,Z_tilde.36,Z_tilde.37,Z_tilde.38,Z_tilde.39,Z_tilde.40,Z_tilde.41,Z_tilde.42,Z_tilde.43,Z_tilde.44,Z_tilde.45,Z_tilde.46,Z_tilde.47,Z_tilde.48,Z_tilde.49,Z_tilde.50,Z_tilde.51,Z_tilde.52,Z_rep.1,Z_rep.2,Z_rep.3,Z_rep.4,Z_rep.5,Z_rep.6,Z_rep.7,Z_rep.8,Z_rep.9,Z_rep.10,Z_rep.11,Z_rep.12,Z_rep.13,Z_rep.14,Z_rep.15,Z_rep.16,Z_rep.17,Z_rep.18,Z_rep.19,Z_rep.20,Z_rep.21,Z_rep.22,Z_rep.23,Z_rep.24,Z_rep.25,Z_rep.26,Z_rep.27,Z_rep.28,Z_rep.29,Z_rep.30,Z_rep.31,Z_rep.32,Z_rep.33,Z_rep.34,Z_rep.35,Z_rep.36,Z_rep.37,Z_rep.38,Z_rep.39,Z_rep.40,Z_rep.41,Z_rep.42,Z_rep.43,Z_rep.44,Z_rep.45,Z_rep.46,Z_rep.47,Z_rep.48,Z_rep.49,Z_rep.50,Z_rep.51,Z_rep.52
# Adaptation terminated
# Step size = 0.365429
# Diagonal elements of inverse mass matrix:
# 1.29678, 0.688049, 1.09825, 1.49819, 0.0142071
158.731,0.966767,0.365429,3,7,0,-157.038,1.30374,0.664815,0.0500516,0.0913084,0.591593,33518.7,3.32407,155.005,0.0154565,0.0295796,0.997511,0.996323,0.993928,0.991649,0.987634,0.985097,0.981621,0.976656,0.969183,0.957129,0.935756,0.892378,0.852008,0.785015,0.666626,0.455328,0.164733,0.000322318,0.164564,0.454243,0.66424,0.781316,0.846983,0.885972,0.926268,0.943863,0.951027,0.951875,0.947516,0.943289,0.937509,0.929984,0.920541,0.909141,0.896081,0.882281,0.869538,0.86039,0.85727,0.858811,0.861217,0.871222,0.884873,0.89965,0.913775,0.926344,0.937087,0.946076,0.953526,0.975594,0.985192,0.990063,0.998178,0.99869,0.957896,0.991475,0.944847,0.985985,0.99034,0.981463,0.970281,0.959062,0.914762,0.824794,0.857181,0.726066,0.734598,0.448011,0.184731,0.0319833,0.149785,0.455779,0.658689,0.773008,0.82671,0.836074,0.949984,0.922606,0.96447,0.982089,0.966759,0.940787,0.93155,0.939331,0.904114,0.879285,0.938852,0.852951,0.830681,0.859304,0.86601,0.878574,0.874879,0.908803,0.875909,0.888692,0.907122,0.945485,0.950953,0.959636,0.907093,0.982561,0.991089,0.93772
157.186,0.981705,0.365429,3,7,0,-156.25,0.436748,2.77505,0.0662676,0.154325,0.487489,29183.7,13.8753,156.627,0.0157716,0.0243744,0.997679,0.996549,0.994249,0.992044,0.988137,0.985658,0.982252,0.977377,0.970023,0.958135,0.937016,0.894076,0.854065,0.787602,0.669976,0.459384,0.167261,0.00032821,0.167065,0.458342,0.667816,0.784338,0.849689,0.888537,0.928858,0.946728,0.954347,0.955811,0.95218,0.948313,0.942825,0.935432,0.92581,0.913704,0.899165,0.882986,0.867242,0.855401,0.851175,0.853134,0.85624,0.868948,0.88561,0.902772,0.918377,0.931649,0.942564,0.95141,0.958555,0.978803,0.987231,0.99144,0.956131,0.993833,0.935808,0.993761,0.999867,0.940624,0.991768,0.948375,0.949139,0.960165,0.926995,0.955122,0.866801,0.795124,0.642233,0.454471,0.154101,0.0078665,0.169276,0.477616,0.672482,0.810652,0.841284,0.858131,0.88448,0.963042,0.977584,0.973835,0.969973,0.938795,0.93675,0.960026,0.910952,0.916945,0.897235,0.889732,0.864459,0.883204,0.859103,0.831782,0.850865,0.881807,0.863165,0.937326,0.891321,0.968762,0.920524,0.926879,0.943788,0.962992,0.987929,0.995284
158.788,0.97644,0.365429,4,15,0,-155.943,0.95901,0.389357,0.223419,0.196018,0.66043,31795.1,1.94679,172.342,0.0159801,0.0330215,0.997514,0.996327,0.993931,0.991651,0.987633,0.985093,0.981612,0.97664,0.969156,0.957083,0.935676,0.892227,0.85179,0.784692,0.66614,0.454665,0.164297,0.000321866,0.164112,0.453511,0.663654,0.780885,0.846654,0.885704,0.926047,0.943622,0.950696,0.951342,0.946561,0.941975,0.935671,0.927384,0.91684,0.903882,0.888713,0.872296,0.856756,0.845345,0.84134,0.843211,0.846177,0.858451,0.874906,0.89231,0.90855,0.922684,0.934534,0.944289,0.952267,0.97535,0.985145,0.990063,0.976269,0.9797,0.950474,0.966891,0.988954,0.937755,0.918451,0.988503,0.955647,0.994221,0.934056,0.855075,0.883579,0.830482,0.660504,0.390673,0.160412,0.00250458,0.137509,0.42217,0.73003,0.769476,0.849721,0.876439,0.912822,0.997195,0.980201,0.983194,0.925138,0.926749,0.951374,0.922129,0.903556,0.877955,0.84801,0.882643,0.90717,0.823156,0.836418,0.861732,0.814258,0.844589,0.922279,0.84031,0.908443,0.844563,0.922243,0.873237,0.935822,0.971569,0.996522,0.984027
158.788,0.00764021,0.365429,2,3,0,-150.47,0.95901,0.389357,0.223419,0.196018,0.66043,31795.1,1.94679,172.342,0.0159801,0.0330215,0.997514,0.996327,0.993931,0.991651,0.987633,0.985093,0.981612,0.97664,0.969156,0.957083,0.935676,0.892227,0.85179,0.784692,0.66614,0.454665,0.164297,0.000321866,0.164112,0.453511,0.663654,0.780885,0.846654,0.885704,0.926047,0.943622,0.950696,0.951342,0.946561,0.941975,0.935671,0.927384,0.91684,0.903882,0.888713,0.872296,0.856756,0.845345,0.84134,0.843211,0.846177,0.858451,0.874906,0.89231,0.90855,0.922684,0.934534,0.944289,0.952267,0.97535,0.985145,0.990063,0.998899,0.98987,0.972023,0.964067,0.999467,0.967279,0.974688,0.923625,0.989863,0.973084,0.922538,0.860741,0.883023,0.739838,0.69308,0.422735,0.128142,0.0144762,0.158707,0.475207,0.62324,0.817069,0.852299,0.871979,0.946048,0.974931,0.917127,0.987258,0.913957,0.99211,0.930304,0.946137,0.961244,0.895209,0.883131,0.902799,0.885579,0.837057,0.893753,0.881579,0.84469,0.881253,0.884806,0.887695,0.888308,0.877649,0.894921,0.91638,0.933854,0.909748,0.991423,0.983415
158.652,0.997388,0.365429,3,7,0,-158.298,1.06048,0.300536,0.201603,0.230924,0.629966,32302.4,1.50268,170.16,0.0161546,0.0314983,0.997488,0.996292,0.993883,0.991592,0.987561,0.985014,0.981525,0.976544,0.96905,0.956964,0.935541,0.892071,0.851621,0.784507,0.665938,0.454459,0.16418,0.000321603,0.163996,0.453292,0.663409,0.780622,0.846369,0.885395,0.925679,0.943178,0.950154,0.950676,0.945746,0.94108,0.934702,0.926357,0.915793,0.902883,0.887865,0.871721,0.856545,0.845467,0.8416,0.843417,0.846296,0.858234,0.874323,0.891451,0.907539,0.921624,0.933493,0.943306,0.951359,0.974794,0.984796,0.98983,0.965059,0.991587,0.965607,0.972395,0.981722,0.962318,0.971106,0.939805,0.9387,0.925146,0.912919,0.932305,0.801125,0.7769,0.655222,0.450376,0.134549,0.00185735,0.121009,0.458646,0.675592,0.747907,0.823533,0.896096,0.925742,0.930892,0.968866,0.984155,0.920411,0.889469,0.921971,0.937224,0.972114,0.891056,0.963045,0.912075,0.883024,0.8311,0.828811,0.803744,0.873137,0.872102,0.8426,0.935483,0.865671,0.878612,0.963921,0.93058,0.94755,0.95881,0.90312,0.987877
158.713,0.969537,0.365429,2,7,0,-155.306,0.720684,0.48582,0.13153,0.27084,0.673237,30603.4,2.4291,163.153,0.0163542,0.0336619,0.997533,0.996351,0.993966,0.991693,0.987686,0.985152,0.981678,0.976715,0.969242,0.957184,0.9358,0.892388,0.85198,0.784924,0.666426,0.454981,0.164469,0.00032212,0.164288,0.453851,0.66399,0.78119,0.846941,0.885985,0.926343,0.943958,0.951092,0.95182,0.947144,0.942615,0.936369,0.928132,0.917618,0.904649,0.889408,0.872839,0.857087,0.845476,0.841387,0.843288,0.846307,0.858779,0.875446,0.893,0.909313,0.923457,0.935276,0.944981,0.952901,0.975729,0.98538,0.990221,0.973448,0.995286,0.991905,0.995076,0.966908,0.925435,0.982827,0.981035,0.989304,0.977124,0.932032,0.883946,0.885124,0.762169,0.690677,0.492652,0.155634,0.123943,0.159588,0.437454,0.690982,0.743689,0.830972,0.867411,0.911762,0.961029,0.969167,0.933759,0.940688,0.977731,0.947551,0.916305,0.865246,0.883099,0.841315,0.896897,0.861809,0.82184,0.798279,0.830081,0.806381,0.855439,0.850505,0.875253,0.8631,0.905539,0.937238,0.921302,0.99399,0.986526,0.987,0.959291
