# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 0
# model = CEST_model
# start_datetime = 2023-05-12 16:53:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/berna/AppData/Local/Temp/RtmpiurUPZ/standata-14a46360669d.json
# init = C:/Users/berna/AppData/Local/Temp/RtmpiurUPZ/init-3-14a4285035e5.json
# random
#   seed = 987569062
# output
#   file = C:/Users/berna/AppData/Local/Temp/RtmpiurUPZ/CEST-202305121953-3-07b759.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/berna/AppData/Local/Temp/RtmpiurUPZ/CEST-profile-202305121953-3-1fe283.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.0
# stancflags = --O1 --name=CEST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,R2b_std,R1b_std,k_std,f_std,sigma_std,R2b,R1b,k,f,sigma,Z_tilde.1,Z_tilde.2,Z_tilde.3,Z_tilde.4,Z_tilde.5,Z_tilde.6,Z_tilde.7,Z_tilde.8,Z_tilde.9,Z_tilde.10,Z_tilde.11,Z_tilde.12,Z_tilde.13,Z_tilde.14,Z_tilde.15,Z_tilde.16,Z_tilde.17,Z_tilde.18,Z_tilde.19,Z_tilde.20,Z_tilde.21,Z_tilde.22,Z_tilde.23,Z_tilde.24,Z_tilde.25,Z_tilde.26,Z_tilde.27,Z_tilde.28,Z_tilde.29,Z_tilde.30,Z_tilde.31,Z_tilde.32,Z_tilde.33,Z_tilde.34,Z_tilde.35,Z_tilde.36,Z_tilde.37,Z_tilde.38,Z_tilde.39,Z_tilde.40,Z_tilde.41,Z_tilde.42,Z_tilde.43,Z_tilde.44,Z_tilde.45,Z_tilde.46,Z_tilde.47,Z_tilde.48,Z_tilde.49,Z_tilde.50,Z_tilde.51,Z_tilde.52,Z_rep.1,Z_rep.2,Z_rep.3,Z_rep.4,Z_rep.5,Z_rep.6,Z_rep.7,Z_rep.8,Z_rep.9,Z_rep.10,Z_rep.11,Z_rep.12,Z_rep.13,Z_rep.14,Z_rep.15,Z_rep.16,Z_rep.17,Z_rep.18,Z_rep.19,Z_rep.20,Z_rep.21,Z_rep.22,Z_rep.23,Z_rep.24,Z_rep.25,Z_rep.26,Z_rep.27,Z_rep.28,Z_rep.29,Z_rep.30,Z_rep.31,Z_rep.32,Z_rep.33,Z_rep.34,Z_rep.35,Z_rep.36,Z_rep.37,Z_rep.38,Z_rep.39,Z_rep.40,Z_rep.41,Z_rep.42,Z_rep.43,Z_rep.44,Z_rep.45,Z_rep.46,Z_rep.47,Z_rep.48,Z_rep.49,Z_rep.50,Z_rep.51,Z_rep.52
# Adaptation terminated
# Step size = 0.326032
# Diagonal elements of inverse mass matrix:
# 1.30058, 1.22016, 1.20336, 1.12681, 0.0124564
158.042,0.965393,0.326032,3,15,0,-154.833,1.6061,1.30727,0.371587,0.0407066,0.698547,35030.5,6.53633,187.159,0.0152035,0.0349274,0.997503,0.996313,0.993917,0.991638,0.987626,0.985092,0.981619,0.976662,0.969201,0.957169,0.935838,0.892549,0.85226,0.785398,0.667221,0.456186,0.165348,0.000324452,0.165147,0.454995,0.664682,0.781522,0.847038,0.885923,0.926073,0.943539,0.950546,0.951166,0.946433,0.941927,0.93577,0.927732,0.917592,0.905257,0.89099,0.875751,0.861519,0.851194,0.847621,0.849333,0.852029,0.863217,0.878362,0.894583,0.909916,0.92342,0.934859,0.944358,0.952182,0.975101,0.98495,0.989922,0.983853,0.99053,0.969844,0.9784,0.980777,0.978972,0.951605,0.964543,0.918551,0.950125,0.911294,0.878249,0.873598,0.839159,0.685445,0.447143,0.190808,0.0493283,0.175996,0.50475,0.639519,0.76957,0.91602,0.905072,0.926674,0.963649,0.903666,0.970065,0.917654,0.939372,0.876104,0.926149,0.899476,0.834765,0.91316,0.936126,0.863002,0.854393,0.862068,0.867011,0.872169,0.923723,0.802036,0.873765,0.904864,0.948008,0.927719,0.96052,0.979902,0.943954,0.982807,0.944533
159.424,0.823954,0.326032,3,7,0,-155.337,0.364607,1.22412,0.31199,0.106739,0.636617,28823,6.12062,181.199,0.0155337,0.0318309,0.997643,0.996498,0.99417,0.991941,0.987995,0.985492,0.982054,0.977135,0.969717,0.95773,0.936442,0.893175,0.852876,0.785968,0.667671,0.456393,0.165333,0.000324293,0.165139,0.455287,0.66538,0.782525,0.848278,0.887371,0.927917,0.945819,0.953341,0.954569,0.950498,0.946287,0.94033,0.93229,0.921773,0.908436,0.892249,0.874008,0.856015,0.842309,0.837344,0.839581,0.843157,0.857741,0.876664,0.895901,0.913165,0.92768,0.939501,0.949006,0.956633,0.978012,0.986807,0.991175,0.99548,0.992923,0.986709,0.986945,0.993174,0.946699,0.94911,0.937447,0.929077,0.987906,0.888898,0.922222,0.863101,0.814687,0.64683,0.404058,0.128849,0.0558573,0.149032,0.422165,0.622839,0.807702,0.831734,0.912982,0.965926,0.962579,0.933434,0.967171,0.95751,0.935582,0.981809,0.913582,0.910778,0.859169,0.865885,0.797717,0.788826,0.825909,0.848869,0.876723,0.895144,0.828623,0.883199,0.872475,0.945318,0.899922,0.925394,0.92268,0.965387,0.929233,0.980151,0.942753
158.456,0.942711,0.326032,3,11,0,-156.41,0.294168,1.47148,0.29015,0.0397347,0.530084,28470.8,7.35739,179.015,0.0151987,0.0265042,0.997675,0.996541,0.994231,0.992015,0.988087,0.985594,0.982167,0.977262,0.969862,0.957898,0.936641,0.893426,0.853166,0.786314,0.668094,0.45688,0.165629,0.000324815,0.165438,0.455811,0.665887,0.783001,0.848746,0.887847,0.92845,0.94645,0.954119,0.955558,0.951788,0.947775,0.942055,0.934295,0.924101,0.911122,0.895303,0.877397,0.859655,0.846088,0.841165,0.843389,0.846939,0.861386,0.880058,0.89896,0.915856,0.930012,0.941509,0.950733,0.958122,0.978778,0.987258,0.991469,0.96142,0.99725,0.977283,0.954438,0.964245,0.972574,0.943169,0.999019,0.931107,0.933887,0.9,0.863164,0.859995,0.819903,0.675141,0.466347,0.15518,0.0555521,0.184931,0.441564,0.631901,0.786667,0.861555,0.913339,0.933682,0.939079,0.949197,0.95658,0.940576,0.895729,0.90776,0.951174,0.918169,0.876688,0.906806,0.899365,0.845819,0.85835,0.803133,0.834568,0.84608,0.88679,0.921189,0.894689,0.908814,0.955798,0.967388,0.953067,0.947913,0.972484,0.973076,0.989039
159.332,0.94597,0.326032,3,15,0,-156.235,2.01509,1.66452,0.224105,0.135873,0.56719,37075.4,8.32259,172.41,0.0156794,0.0283595,0.997441,0.996232,0.993808,0.99151,0.987476,0.984933,0.981451,0.976486,0.969021,0.956994,0.93569,0.89248,0.852277,0.785561,0.667624,0.456877,0.165844,0.00032541,0.165642,0.45567,0.665009,0.781529,0.846814,0.885527,0.925416,0.942658,0.949444,0.949842,0.944928,0.940384,0.934266,0.926399,0.91664,0.904995,0.891817,0.87807,0.865528,0.856617,0.853602,0.855102,0.857442,0.867206,0.88065,0.895368,0.909603,0.92241,0.933461,0.942783,0.950562,0.973875,0.984132,0.989359,0.975354,0.968741,0.988767,0.928677,0.961016,0.994744,0.95103,0.976134,0.95902,0.891417,0.907352,0.910032,0.823722,0.826407,0.660084,0.425196,0.150877,0.0299637,0.141117,0.424656,0.653773,0.783085,0.878817,0.894532,0.908293,0.934165,0.964983,0.966143,0.930498,0.943799,0.933346,0.926355,0.921372,0.852219,0.907014,0.901828,0.858668,0.861652,0.840974,0.861724,0.840174,0.866444,0.887687,0.87304,0.871158,0.931457,0.909438,0.914562,0.950922,0.999784,0.955316,0.946437
158.76,0.874929,0.326032,3,7,0,-154.936,0.377564,0.87729,0.109378,0.352272,0.663205,28887.8,4.38645,160.938,0.0167614,0.0331603,0.997576,0.996409,0.994048,0.991794,0.987813,0.985293,0.981836,0.976895,0.96945,0.957432,0.936106,0.892793,0.852466,0.785526,0.66719,0.455881,0.165011,0.000323398,0.164824,0.454759,0.664808,0.781899,0.847587,0.886607,0.926983,0.944669,0.951914,0.952783,0.948253,0.943779,0.93755,0.929257,0.918557,0.905193,0.889254,0.87164,0.854611,0.841869,0.837317,0.839391,0.842702,0.856308,0.874255,0.892858,0.909869,0.924409,0.936413,0.946171,0.954071,0.976532,0.9859,0.990574,0.983205,0.986115,0.97717,0.968888,0.99599,0.97186,0.98882,0.992668,0.924895,0.932586,0.925422,0.944869,0.842293,0.790745,0.612394,0.463405,0.206018,0.00951973,0.243556,0.420097,0.672516,0.862725,0.839147,0.842238,0.972598,0.92044,0.933356,0.91683,0.935955,0.966227,0.901762,0.900521,0.875866,0.887694,0.9167,0.872572,0.818412,0.771123,0.859642,0.844823,0.853322,0.857409,0.871329,0.870382,0.911512,0.973292,0.976061,0.942378,0.947138,0.999275,0.972132,0.969705
158.581,0.967615,0.326032,2,7,0,-155.695,1.26157,0.380094,0.161565,0.31094,0.602893,33307.9,1.90047,166.156,0.0165547,0.0301447,0.997442,0.996231,0.9938,0.991494,0.987442,0.984887,0.981388,0.976396,0.968891,0.956797,0.935372,0.891916,0.85149,0.784422,0.665935,0.454568,0.164284,0.000321873,0.164098,0.453371,0.663321,0.780388,0.846025,0.884959,0.925084,0.942418,0.949204,0.949497,0.9443,0.939495,0.932988,0.924547,0.913956,0.901137,0.886389,0.87072,0.856161,0.845641,0.842002,0.843732,0.846465,0.857839,0.873305,0.889953,0.905767,0.919757,0.931651,0.941558,0.949737,0.973791,0.984165,0.989406,0.996083,0.987622,0.994264,0.960644,0.984384,0.991223,0.991979,0.987059,0.898303,0.94467,0.939536,0.884011,0.797301,0.784871,0.686313,0.443484,0.156631,0.025556,0.175239,0.410276,0.637572,0.795463,0.830189,0.874663,0.90933,0.888442,0.942836,0.911255,0.941105,0.958105,0.942062,0.896795,0.890806,0.888634,0.888925,0.900208,0.818631,0.861326,0.788985,0.829998,0.834716,0.873382,0.845301,0.866949,0.888281,0.922231,0.958369,0.981492,0.946877,0.966613,0.984172,0.947661
