# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 0
# model = CEST_model
# start_datetime = 2023-05-12 16:53:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/berna/AppData/Local/Temp/RtmpiurUPZ/standata-14a46360669d.json
# init = C:/Users/berna/AppData/Local/Temp/RtmpiurUPZ/init-4-14a42fe11616.json
# random
#   seed = 987569062
# output
#   file = C:/Users/berna/AppData/Local/Temp/RtmpiurUPZ/CEST-202305121953-4-07b759.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/berna/AppData/Local/Temp/RtmpiurUPZ/CEST-profile-202305121953-4-1fe283.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.0
# stancflags = --O1 --name=CEST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,R2b_std,R1b_std,k_std,f_std,sigma_std,R2b,R1b,k,f,sigma,Z_tilde.1,Z_tilde.2,Z_tilde.3,Z_tilde.4,Z_tilde.5,Z_tilde.6,Z_tilde.7,Z_tilde.8,Z_tilde.9,Z_tilde.10,Z_tilde.11,Z_tilde.12,Z_tilde.13,Z_tilde.14,Z_tilde.15,Z_tilde.16,Z_tilde.17,Z_tilde.18,Z_tilde.19,Z_tilde.20,Z_tilde.21,Z_tilde.22,Z_tilde.23,Z_tilde.24,Z_tilde.25,Z_tilde.26,Z_tilde.27,Z_tilde.28,Z_tilde.29,Z_tilde.30,Z_tilde.31,Z_tilde.32,Z_tilde.33,Z_tilde.34,Z_tilde.35,Z_tilde.36,Z_tilde.37,Z_tilde.38,Z_tilde.39,Z_tilde.40,Z_tilde.41,Z_tilde.42,Z_tilde.43,Z_tilde.44,Z_tilde.45,Z_tilde.46,Z_tilde.47,Z_tilde.48,Z_tilde.49,Z_tilde.50,Z_tilde.51,Z_tilde.52,Z_rep.1,Z_rep.2,Z_rep.3,Z_rep.4,Z_rep.5,Z_rep.6,Z_rep.7,Z_rep.8,Z_rep.9,Z_rep.10,Z_rep.11,Z_rep.12,Z_rep.13,Z_rep.14,Z_rep.15,Z_rep.16,Z_rep.17,Z_rep.18,Z_rep.19,Z_rep.20,Z_rep.21,Z_rep.22,Z_rep.23,Z_rep.24,Z_rep.25,Z_rep.26,Z_rep.27,Z_rep.28,Z_rep.29,Z_rep.30,Z_rep.31,Z_rep.32,Z_rep.33,Z_rep.34,Z_rep.35,Z_rep.36,Z_rep.37,Z_rep.38,Z_rep.39,Z_rep.40,Z_rep.41,Z_rep.42,Z_rep.43,Z_rep.44,Z_rep.45,Z_rep.46,Z_rep.47,Z_rep.48,Z_rep.49,Z_rep.50,Z_rep.51,Z_rep.52
# Adaptation terminated
# Step size = 0.292033
# Diagonal elements of inverse mass matrix:
# 1.21565, 0.66338, 1.7448, 1.83946, 0.0129309
157.613,0.970255,0.292033,3,7,0,-156.782,1.30841,3.4385,0.205874,0.0929579,0.572128,33542,17.1925,170.587,0.0154648,0.0286064,0.997602,0.996448,0.994113,0.991884,0.987947,0.985456,0.982037,0.97715,0.969788,0.957901,0.936804,0.893944,0.854022,0.787715,0.670359,0.460129,0.167851,0.000329889,0.167637,0.458999,0.668007,0.784152,0.849236,0.887881,0.927877,0.945437,0.95271,0.953764,0.949661,0.945552,0.93985,0.932317,0.92271,0.910893,0.897062,0.882102,0.867959,0.857591,0.853979,0.855706,0.858425,0.869654,0.884707,0.900643,0.915532,0.928509,0.939404,0.948384,0.955738,0.977062,0.98614,0.990709,0.986608,0.990606,0.973858,0.969918,0.983984,0.976939,0.961643,0.96352,0.945866,0.884321,0.961192,0.894805,0.866025,0.738997,0.728604,0.497358,0.15445,0.0288127,0.139864,0.435274,0.643252,0.790019,0.817361,0.885439,0.956849,0.968678,0.935302,0.9839,0.917745,0.953767,0.952853,0.946933,0.916701,0.933202,0.929671,0.894798,0.913029,0.853603,0.880059,0.827699,0.892026,0.872823,0.917697,0.876123,0.934082,0.918943,0.95124,0.92563,0.911972,0.962974,0.989946,0.999648
159.167,1,0.292033,3,7,0,-157.228,0.706818,0.732182,0.174096,0.27978,0.546679,30534.1,3.66091,167.41,0.0163989,0.0273339,0.997541,0.996363,0.993983,0.991715,0.987715,0.985185,0.981716,0.97676,0.969298,0.957257,0.935899,0.892536,0.852172,0.785182,0.666784,0.455446,0.164772,0.00032294,0.164584,0.454299,0.664334,0.781442,0.847135,0.886144,0.926468,0.94407,0.951199,0.951919,0.947216,0.942656,0.936357,0.92803,0.917371,0.904176,0.888601,0.871587,0.855329,0.84329,0.839029,0.840995,0.844122,0.857024,0.874198,0.892199,0.908845,0.923215,0.935178,0.944971,0.952942,0.975821,0.985451,0.990272,0.989188,0.982733,0.965273,0.975699,0.960391,0.975908,0.986193,0.985814,0.916067,0.942231,0.9476,0.915932,0.848991,0.757698,0.670467,0.462881,0.151331,0.00684756,0.138726,0.442235,0.638866,0.778352,0.868858,0.897855,0.968828,0.927572,0.973319,0.894515,0.95039,0.922071,0.927017,0.889898,0.886711,0.883545,0.933392,0.900382,0.859794,0.871687,0.834351,0.847485,0.867864,0.853672,0.894392,0.859418,0.935296,0.90442,0.985483,0.949799,0.969813,0.967169,0.978919,0.97445
158.932,0.920206,0.292033,3,7,0,-157.994,0.855679,1.40302,0.228752,0.0174884,0.618256,31278.4,7.01512,172.875,0.0150874,0.0309128,0.997609,0.996454,0.994112,0.991872,0.987912,0.985403,0.98196,0.977035,0.969612,0.957624,0.936342,0.893104,0.852838,0.785991,0.6678,0.456664,0.165549,0.000324486,0.165362,0.455581,0.665511,0.782511,0.848161,0.887175,0.927606,0.945413,0.952855,0.954033,0.950001,0.945891,0.94014,0.932481,0.922626,0.910379,0.895873,0.879975,0.864743,0.853443,0.849457,0.851326,0.854283,0.866452,0.882604,0.899488,0.915065,0.928485,0.939641,0.948763,0.956181,0.977451,0.986404,0.99089,0.907276,0.949594,0.976092,0.976146,0.932522,0.979832,0.960537,0.972071,0.947538,0.960399,0.944589,0.875148,0.864823,0.772857,0.6507,0.437317,0.10642,0.0585299,0.119813,0.493856,0.620339,0.71777,0.855727,0.895869,0.935056,0.951251,0.924777,0.94861,0.981563,0.953282,0.945064,0.956625,0.878114,0.937371,0.929655,0.895328,0.853062,0.872947,0.906173,0.893441,0.839768,0.885772,0.911546,0.916363,0.879874,0.927188,0.935973,0.970797,0.978062,0.988696,0.965188,0.963192
158.045,0.902377,0.292033,4,15,0,-156.068,1.21573,1.12229,0.137784,0.0117357,0.543608,33078.6,5.61146,163.778,0.0150587,0.0271804,0.997559,0.996387,0.994018,0.991758,0.987772,0.985249,0.98179,0.976846,0.9694,0.957383,0.936062,0.892769,0.852465,0.785567,0.667314,0.456142,0.165245,0.000323586,0.165068,0.455064,0.664984,0.781985,0.84762,0.886607,0.926955,0.944652,0.951961,0.952994,0.948848,0.944727,0.939035,0.931555,0.922079,0.910515,0.897106,0.882752,0.869325,0.859576,0.856213,0.857847,0.860409,0.87102,0.885359,0.900694,0.91517,0.927904,0.93868,0.947621,0.954982,0.976528,0.985787,0.990466,0.942721,0.949253,0.99553,0.988444,0.959868,0.965651,0.975619,0.975039,0.965085,0.950873,0.967993,0.882272,0.829852,0.767842,0.642921,0.470089,0.130558,0.0191235,0.187333,0.434063,0.69586,0.82137,0.839229,0.88608,0.891661,0.917779,0.953953,0.96871,0.997823,0.959536,0.913392,0.921931,0.988627,0.868324,0.864489,0.831019,0.870527,0.845287,0.862214,0.855627,0.852903,0.897073,0.925566,0.950847,0.908685,0.916855,0.938286,0.937542,0.953369,0.978543,0.993375,0.988666
159.614,1,0.292033,3,7,0,-157.522,0.57114,1.09552,0.115554,0.0730019,0.546872,29855.7,5.47758,161.555,0.015365,0.0273436,0.997624,0.996473,0.994136,0.9919,0.987944,0.985437,0.981994,0.977069,0.969643,0.957648,0.936349,0.893071,0.852765,0.785851,0.66755,0.45627,0.165255,0.000323599,0.16508,0.455224,0.665325,0.782458,0.848197,0.887274,0.927796,0.945684,0.953212,0.954495,0.950598,0.946567,0.940903,0.933334,0.923565,0.911387,0.896912,0.880991,0.865681,0.854287,0.850257,0.852142,0.855125,0.867387,0.883617,0.900526,0.916072,0.929425,0.940496,0.949529,0.956864,0.977832,0.986634,0.991043,0.977374,0.988943,0.970753,0.964206,0.941565,0.958941,0.975382,0.99264,0.968455,0.976639,0.961576,0.913528,0.842109,0.787113,0.633114,0.43151,0.145758,0.0376934,0.168787,0.453482,0.686363,0.782077,0.825051,0.908074,0.96647,0.956916,0.968225,0.911443,0.969991,0.971632,0.938933,0.965185,0.897421,0.910075,0.889683,0.881492,0.897309,0.869878,0.815898,0.915137,0.882854,0.862746,0.902122,0.881052,0.901252,0.875408,0.984441,0.973139,0.976092,0.997805,0.997947,0.969992
159.107,0.972326,0.292033,3,7,0,-157.522,0.612,0.881803,0.0632917,0.0690826,0.558306,30060,4.40902,156.329,0.0153454,0.0279153,0.997613,0.996459,0.994116,0.991875,0.987911,0.985399,0.981951,0.977019,0.969585,0.957576,0.936255,0.892938,0.8526,0.785637,0.667261,0.455906,0.165019,0.000322926,0.16485,0.454875,0.665047,0.782243,0.848019,0.887117,0.927655,0.945542,0.953064,0.954345,0.950467,0.946467,0.94086,0.933394,0.923798,0.911895,0.897837,0.882482,0.867823,0.856986,0.85318,0.854981,0.857823,0.869525,0.885101,0.901443,0.916572,0.929649,0.940548,0.94948,0.956757,0.977689,0.98653,0.990968,0.949247,0.991125,0.911959,0.976474,0.987392,0.998169,0.994162,0.995401,0.906623,0.9651,0.904019,0.859872,0.850145,0.842579,0.673211,0.491341,0.169103,0.0133762,0.142093,0.490754,0.690352,0.805313,0.862943,0.941051,0.912084,0.977806,0.961987,0.980645,0.960523,0.918529,0.952805,0.933368,0.916785,0.893497,0.870439,0.845751,0.814569,0.882462,0.86883,0.791081,0.862366,0.850203,0.880003,0.902151,0.915509,0.924166,0.932643,0.941649,0.970296,0.963172,0.944603,0.980473
